#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Pitangus sulphuratus","Eukaryota;Animals;Birds","","SAMN13000596","PRJNA576661","GCA_029286575.1","Scaffold",1037.4,40.4,,"WHWA01",11553,17489,"2023-03-20T00:00:00Z",,
"Columba guinea","Eukaryota;Animals;Birds","18282X2_C_GUI_MDS529_F","SAMN36892107","PRJNA1003478","GCA_032206185.1","Contig",1302.22,41.8,,"JAVLUU01",1147,17966,"2023-09-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/206/185/GCA_032206185.1_C.guinea_mat1.0",
"Rhynchotus rufescens","Eukaryota;Animals;Birds","LSUMNS B13623","SAMN36702116","PRJNA968497","GCA_032273925.1","Scaffold",975.798,40.9,,"JAVCKT01",141505,0,"2023-10-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/273/925/GCA_032273925.1_ASM3227392v1",
"Polihierax semitorquatus","Eukaryota;Animals;Birds","FMNH 369352","SAMN35787752","PRJNA985062","GCA_032274285.1","Scaffold",1262.24,25.1,,"JAUTDB01",110367,0,"2023-10-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/274/285/GCA_032274285.1_ASM3227428v1",
"Cacatua ophthalmica","Eukaryota;Animals;Birds","FMNH 355085","SAMN32398553","PRJNA703556","GCA_032274605.1","Scaffold",793.761,18.3,,"JAUBOA01",139773,0,"2023-10-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/274/605/GCA_032274605.1_ASM3227460v1",
"Milvago chimachima","Eukaryota;Animals;Birds","FMNH 295956","SAMN35787755","PRJNA963566","GCA_032274085.1","Scaffold",1218.63,39.5,,"JAUTDA01",15842,0,"2023-10-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/274/085/GCA_032274085.1_ASM3227408v1",
"Falco moluccensis","Eukaryota;Animals;Birds","FMNH 100977","SAMN35787759","PRJNA959100","GCA_032274425.1","Scaffold",1225.61,38,,"JAUTCE01",23926,0,"2023-10-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/274/425/GCA_032274425.1_ASM3227442v1",
"Tyrannus crassirostris","Eukaryota;Animals;Birds","USNM 144899","SAMN33955251","PRJNA949692","GCA_032274845.1","Scaffold",526.948,40.8,,"JAUESG01",693031,0,"2023-10-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/274/845/GCA_032274845.1_ASM3227484v1",
"Tyrannus cubensis","Eukaryota;Animals;Birds","USNM 395604","SAMN33955249","PRJNA949690","GCA_032274685.1","Scaffold",1103.17,36.1,,"JAUBOB01",20266,0,"2023-10-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/274/685/GCA_032274685.1_ASM3227468v1",
"Tyrannus vociferans","Eukaryota;Animals;Birds","IRGN 8V4BFPQH07","SAMN33062132","PRJNA931342","GCA_032274585.1","Scaffold",1034.99,22.1,,"JAUELM01",9564,0,"2023-10-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/274/585/GCA_032274585.1_ASM3227458v1",
"Tyrannus caudifasciatus","Eukaryota;Animals;Birds","USNM 395620","SAMN33954586","PRJNA949669","GCA_032353075.1","Scaffold",1099.11,37.7,,"JAUCNE01",57811,0,"2023-10-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/353/075/GCA_032353075.1_ASM3235307v1",
"Tyrannus verticalis","Eukaryota;Animals;Birds","ARK AJWOK002","SAMN33949535","PRJNA949623","GCA_032353205.1","Scaffold",1052.15,41.2,,"JAUCNF01",13183,0,"2023-10-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/353/205/GCA_032353205.1_ASM3235320v1",
"Nothura maculosa","Eukaryota;Animals;Birds","USNM 614501","SAMN35540328","PRJNA964091","GCA_032353885.1","Scaffold",1086.4,41.4,,"JAUBOD01",131141,0,"2023-10-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/353/885/GCA_032353885.1_ASM3235388v1",
"Tyrannus melancholicus","Eukaryota;Animals;Birds","USNM 481211","SAMN33955274","PRJNA949694","GCA_032353195.1","Scaffold",1092.94,20.5,,"JAUCNP01",322,0,"2023-10-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/032/353/195/GCA_032353195.1_ASM3235319v1",
